expirationDate,optionType,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
2025-12-19,call,AAPL251219C00060000,2025-11-06 17:39:28+00:00,60.0,212.15,216.5,218.2,0.0,0.0,5.0,196,3.57031357421875,True,REGULAR,USD
2025-12-19,call,AAPL251219C00065000,2025-11-06 17:32:21+00:00,65.0,206.5,211.45,213.2,0.0,0.0,4.0,224,3.3281266796874993,True,REGULAR,USD
2025-12-19,call,AAPL251219C00070000,2025-11-07 20:39:55+00:00,70.0,197.95,206.35,208.2,0.0,0.0,120.0,824,3.0156274609375,True,REGULAR,USD
2025-12-19,call,AAPL251219C00075000,2025-11-21 20:00:37+00:00,75.0,197.59,201.5,203.25,0.0,0.0,11.0,192,3.113283466796875,True,REGULAR,USD
2025-12-19,call,AAPL251219C00080000,2025-12-08 14:32:10+00:00,80.0,200.05,196.4,198.2,0.0,0.0,2.0,201,2.80469048828125,True,REGULAR,USD
2025-12-19,call,AAPL251219C00085000,2025-12-08 14:31:24+00:00,85.0,195.23,191.35,193.25,0.0,0.0,1.0,382,2.6718783203125005,True,REGULAR,USD
2025-12-19,call,AAPL251219C00090000,2025-12-03 14:31:30+00:00,90.0,197.61,186.3,188.2,0.0,0.0,2.0,279,2.4062539843749997,True,REGULAR,USD
2025-12-19,call,AAPL251219C00095000,2025-11-07 14:35:08+00:00,95.0,173.2,181.35,183.25,0.0,0.0,2.0,186,2.42969142578125,True,REGULAR,USD
2025-12-19,call,AAPL251219C00100000,2025-12-09 16:10:19+00:00,100.0,177.29,176.9,178.2,-0.66000366,-0.37089276,1.0,2498,2.669925200195313,True,REGULAR,USD
2025-12-19,call,AAPL251219C00105000,2025-12-08 18:30:17+00:00,105.0,171.95,171.55,173.3,0.0,0.0,11.0,138,2.4140664648437498,True,REGULAR,USD
2025-12-19,call,AAPL251219C00110000,2025-12-08 15:22:57+00:00,110.0,168.47,166.5,167.55,0.020004272,0.011875496,1.0,974,2.4355507861328123,True,REGULAR,USD
2025-12-19,call,AAPL251219C00115000,2025-12-05 14:39:00+00:00,115.0,165.14,161.55,163.3,0.0,0.0,1.0,216,2.2011763720703117,True,REGULAR,USD
2025-12-19,call,AAPL251219C00120000,2025-12-09 16:26:12+00:00,120.0,157.64,156.8,157.6,-0.30999756,-0.1962631,150.0,973,1.609376953125,True,REGULAR,USD
2025-12-19,call,AAPL251219C00125000,2025-12-09 20:22:01+00:00,125.0,152.6,151.55,153.3,-2.0399933,-1.3191886,1.0,538,2.00781748046875,True,REGULAR,USD
2025-12-19,call,AAPL251219C00130000,2025-12-09 15:45:02+00:00,130.0,148.05,146.3,148.25,1.3099976,0.89273375,10.0,879,1.7070327148437499,True,REGULAR,USD
2025-12-19,call,AAPL251219C00135000,2025-12-09 15:47:25+00:00,135.0,142.85,141.95,143.3,-0.019989014,-0.01399105,10.0,764,1.9873047509765625,True,REGULAR,USD
2025-12-19,call,AAPL251219C00140000,2025-12-09 19:50:46+00:00,140.0,138.25,136.45,138.3,-1.8999939,-1.3556861,12.0,1440,1.69140779296875,True,REGULAR,USD
2025-12-19,call,AAPL251219C00145000,2025-12-08 20:08:07+00:00,145.0,131.71,131.9,132.7,0.0,0.0,11.0,913,1.5195336523437497,True,REGULAR,USD
2025-12-19,call,AAPL251219C00150000,2025-12-08 20:59:49+00:00,150.0,128.05,126.95,127.75,0.0,0.0,41.0,1522,1.5078149609375,True,REGULAR,USD
2025-12-19,call,AAPL251219C00155000,2025-12-09 19:48:20+00:00,155.0,123.0,121.6,123.35,-0.25,-0.20283976,4.0,832,1.5439475927734374,True,REGULAR,USD
