Date,NB_Article_Count,NB_Positive_Count,NB_Negative_Count,NB_Positive_Ratio,NB_Negative_Ratio,NB_Net_Sentiment,NB_Net_Sentiment_Ratio,NB_negative_Mean_Proba,NB_positive_Mean_Proba
2015-10-08,18,18,0,1.0,0.0,18,1.0,0.051750813518225726,0.9482491864817764
2015-10-09,40,40,0,1.0,0.0,40,1.0,0.023048563328777506,0.9769514366712221
2015-10-10,9,9,0,1.0,0.0,9,1.0,0.1427063432445843,0.8572936567554159
2015-10-11,3,3,0,1.0,0.0,3,1.0,0.001430918417958845,0.998569081582043
2015-10-12,19,19,0,1.0,0.0,19,1.0,0.022495573604542133,0.9775044263954593
2015-10-13,16,15,1,0.9375,0.0625,14,0.875,0.07845016536912311,0.9215498346308766
2015-10-14,32,32,0,1.0,0.0,32,1.0,0.09395128428464965,0.9060487157153505
2015-10-15,23,23,0,1.0,0.0,23,1.0,0.08566549852250872,0.9143345014774908
2015-10-16,21,21,0,1.0,0.0,21,1.0,0.0515225839635228,0.9484774160364781
2015-10-17,16,16,0,1.0,0.0,16,1.0,0.24772431664532973,0.7522756833546691
2015-10-18,3,3,0,1.0,0.0,3,1.0,0.0003334183062952696,0.9996665816937066
2015-10-19,18,18,0,1.0,0.0,18,1.0,0.01276900409108036,0.9872309959089196
2015-10-20,24,24,0,1.0,0.0,24,1.0,0.03751195263298733,0.9624880473670121
2015-10-21,31,31,0,1.0,0.0,31,1.0,0.0586436651131375,0.9413563348868628
2015-10-22,18,18,0,1.0,0.0,18,1.0,0.05069856484965433,0.9493014351503456
2015-10-23,18,18,0,1.0,0.0,18,1.0,0.004579840509697503,0.9954201594903009
2015-10-24,4,4,0,1.0,0.0,4,1.0,0.020283419879245618,0.9797165801207536
2015-10-25,4,4,0,1.0,0.0,4,1.0,0.013877493391263178,0.986122506608736
2015-10-26,26,26,0,1.0,0.0,26,1.0,0.02121312598516904,0.9787868740148316
2015-10-27,46,46,0,1.0,0.0,46,1.0,0.03842104957591207,0.9615789504240879
2015-10-28,62,62,0,1.0,0.0,62,1.0,0.05007745317573144,0.9499225468242684
2015-10-29,34,34,0,1.0,0.0,34,1.0,0.03240738903092576,0.9675926109690751
2015-10-30,24,24,0,1.0,0.0,24,1.0,0.08571384273141795,0.9142861572685835
2015-10-31,9,9,0,1.0,0.0,9,1.0,0.1046637330377291,0.8953362669622708
2015-11-01,2,2,0,1.0,0.0,2,1.0,0.00040227219203392903,0.9995977278079673
2015-11-02,16,15,1,0.9375,0.0625,14,0.875,0.04376195877152971,0.9562380412284703
2015-11-03,26,26,0,1.0,0.0,26,1.0,0.048457387364831926,0.9515426126351686
2015-11-04,24,24,0,1.0,0.0,24,1.0,0.028206493284246664,0.9717935067157534
2015-11-05,24,24,0,1.0,0.0,24,1.0,0.027359870241419466,0.9726401297585813
2015-11-06,19,19,0,1.0,0.0,19,1.0,0.036192464267624624,0.9638075357323755
2015-11-07,3,3,0,1.0,0.0,3,1.0,0.04674355001991482,0.9532564499800804
2015-11-08,4,4,0,1.0,0.0,4,1.0,0.0627988183779436,0.937201181622056
2015-11-09,14,14,0,1.0,0.0,14,1.0,0.09413451702610445,0.9058654829738957
2015-11-10,28,27,1,0.9642857142857143,0.03571428571428571,26,0.9285714285714286,0.08057672911046432,0.919423270889535
2015-11-11,28,28,0,1.0,0.0,28,1.0,0.037323141161536975,0.9626768588384641
2015-11-12,29,29,0,1.0,0.0,29,1.0,0.06747774252262735,0.932522257477372
2015-11-13,18,18,0,1.0,0.0,18,1.0,0.041671208968151734,0.9583287910318486
2015-11-15,1,1,0,1.0,0.0,1,1.0,4.883950055338543e-05,0.9999511604994482
2015-11-16,10,10,0,1.0,0.0,10,1.0,0.039160486168735395,0.9608395138312652
2015-11-17,29,29,0,1.0,0.0,29,1.0,0.038384096380677205,0.9616159036193218
2015-11-18,27,27,0,1.0,0.0,27,1.0,0.041732223357676616,0.958267776642324
2015-11-19,27,27,0,1.0,0.0,27,1.0,0.04191303847040607,0.9580869615295925
2015-11-20,14,14,0,1.0,0.0,14,1.0,0.03244871094123168,0.9675512890587686
2015-11-21,10,10,0,1.0,0.0,10,1.0,0.09862450955308495,0.9013754904469149
2015-11-22,2,2,0,1.0,0.0,2,1.0,0.004594393054356633,0.995405606945645
2015-11-23,14,14,0,1.0,0.0,14,1.0,0.014790612758475723,0.9852093872415251
2015-11-24,23,22,1,0.9565217391304348,0.043478260869565216,21,0.9130434782608696,0.05300627397237162,0.9469937260276298
2015-11-25,21,21,0,1.0,0.0,21,1.0,0.06097928417721277,0.9390207158227885
2015-11-26,4,4,0,1.0,0.0,4,1.0,0.02968663702988119,0.9703133629701197
2015-11-27,11,11,0,1.0,0.0,11,1.0,0.020229607810917215,0.9797703921890828
2015-11-28,1,1,0,1.0,0.0,1,1.0,5.029995388740535e-05,0.9999497000461084
2015-11-29,1,1,0,1.0,0.0,1,1.0,0.00034216514465899313,0.9996578348553433
2015-11-30,12,12,0,1.0,0.0,12,1.0,0.015891465308574913,0.9841085346914252
2015-12-01,15,14,1,0.9333333333333333,0.06666666666666667,13,0.8666666666666667,0.06573172733666868,0.9342682726633302
2015-12-02,19,19,0,1.0,0.0,19,1.0,0.060287440603094565,0.9397125593969056
2015-12-03,23,23,0,1.0,0.0,23,1.0,0.03156914768787197,0.9684308523121286
2015-12-04,24,24,0,1.0,0.0,24,1.0,0.06206698263800331,0.9379330173619964
2015-12-05,7,7,0,1.0,0.0,7,1.0,0.11939902068818471,0.8806009793118147
2015-12-06,3,3,0,1.0,0.0,3,1.0,0.059228716350996004,0.9407712836490013
2015-12-07,9,9,0,1.0,0.0,9,1.0,0.011187137153184763,0.9888128628468158
2015-12-08,19,19,0,1.0,0.0,19,1.0,0.05857408628069628,0.9414259137193048
2015-12-09,26,26,0,1.0,0.0,26,1.0,0.051729367038164824,0.9482706329618348
2015-12-10,29,29,0,1.0,0.0,29,1.0,0.03791305346597206,0.9620869465340284
2015-12-11,25,25,0,1.0,0.0,25,1.0,0.041950842779221384,0.9580491572207781
2015-12-12,4,4,0,1.0,0.0,4,1.0,0.017432246077035068,0.9825677539229638
2015-12-13,2,2,0,1.0,0.0,2,1.0,0.00046606256118717046,0.999533937438809
2015-12-14,29,29,0,1.0,0.0,29,1.0,0.033151763167899195,0.9668482368321009
2015-12-15,56,56,0,1.0,0.0,56,1.0,0.0602167370457803,0.9397832629542195
2015-12-16,19,19,0,1.0,0.0,19,1.0,0.032062606669266906,0.9679373933307333
2015-12-17,20,20,0,1.0,0.0,20,1.0,0.035902868912294786,0.9640971310877056
2015-12-18,27,27,0,1.0,0.0,27,1.0,0.040458037592390715,0.9595419624076096
2015-12-19,11,11,0,1.0,0.0,11,1.0,0.07827638664328039,0.92172361335672
2015-12-20,3,3,0,1.0,0.0,3,1.0,0.0009735076575856392,0.9990264923424133
2015-12-21,29,29,0,1.0,0.0,29,1.0,0.027737236151968023,0.9722627638480323
2015-12-22,32,32,0,1.0,0.0,32,1.0,0.05840373173562529,0.9415962682643747
2015-12-23,19,19,0,1.0,0.0,19,1.0,0.047069913970696,0.9529300860293046
2015-12-24,13,13,0,1.0,0.0,13,1.0,0.00859749154812433,0.9914025084518747
2015-12-25,7,7,0,1.0,0.0,7,1.0,0.08117830763812028,0.9188216923618802
2015-12-28,16,16,0,1.0,0.0,16,1.0,0.002858115949705784,0.997141884050292
2015-12-29,21,21,0,1.0,0.0,21,1.0,0.013012231093254011,0.9869877689067459
2015-12-30,27,27,0,1.0,0.0,27,1.0,0.05068364118493734,0.9493163588150625
2015-12-31,11,11,0,1.0,0.0,11,1.0,0.003467015143336034,0.996532984856663
2016-01-01,6,6,0,1.0,0.0,6,1.0,0.055046361977608066,0.9449536380223909
2016-01-02,4,4,0,1.0,0.0,4,1.0,4.170978218859914e-05,0.9999582902178121
2016-01-03,1,1,0,1.0,0.0,1,1.0,0.001474970065339343,0.9985250299346617
2016-01-04,17,17,0,1.0,0.0,17,1.0,0.006878112811937718,0.9931218871880624
2016-01-05,15,15,0,1.0,0.0,15,1.0,0.02961167450649703,0.9703883254935017
2016-01-06,31,31,0,1.0,0.0,31,1.0,0.04272290611237977,0.9572770938876202
2016-01-07,36,36,0,1.0,0.0,36,1.0,0.03499481969523441,0.9650051803047653
